,activation,solver,learning_rate,learning_rate_init,alpha,hidden_layer_sizes,fit_time,test_balanced_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted
24,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 21, 7)",0.6039802074432373,0.15407946275708015,0.30675813714695577,0.25188977420019365,0.45334463495985766
25,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 7, 14)",1.0621502876281739,0.1728497839615587,0.35168331254602403,0.3439473720774072,0.46276880272196796
26,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 14, 7)",0.9517743587493896,0.16856405710417394,0.3510753303559529,0.3172904720641124,0.46974061330479194
27,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 14, 21)",0.9352160930633545,0.1557098878550382,0.2980300385512694,0.27015526585363897,0.43801895895737697
28,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 21, 14)",0.7307649612426758,0.1604150987985312,0.31496812505542854,0.2609142121940652,0.4584490433125259
29,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 7, 21)",1.0559910774230956,0.15711691819475418,0.3043669507920751,0.2775029130981498,0.4409603748692052
30,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 21, 7)",0.42409553527832033,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
31,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 7, 14)",0.7007320404052735,0.15916882617371889,0.31431127504120604,0.2615884440578245,0.457985006189556
32,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 14, 7)",1.1118178367614746,0.16203680681095786,0.307655862485044,0.2820043710384231,0.4425046511460855
33,logistic,lbfgs,constant,1.0023052380778996,316.28238133306945,"(7,)",0.1639331817626953,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
34,logistic,lbfgs,constant,1.0023052380778996,316.28238133306945,"(14,)",0.28780713081359866,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
35,logistic,lbfgs,constant,1.0023052380778996,316.28238133306945,"(21,)",0.37482762336730957,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
36,logistic,lbfgs,constant,1.0023052380778996,316.28238133306945,"(7, 14)",0.3601069450378418,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
37,logistic,lbfgs,constant,1.0023052380778996,316.28238133306945,"(7, 21)",0.5378667831420898,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
38,logistic,lbfgs,constant,1.0023052380778996,316.28238133306945,"(14, 7)",0.29294414520263673,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
